iter	Passed	Remaining
0	145	144858
1	146	72968
2	147	49081
3	149	37221
4	150	30008
5	152	25229
6	153	21777
7	154	19185
8	155	17156
9	156	15529
10	157	14204
11	159	13112
12	160	12187
13	162	11417
14	164	10771
15	166	10221
16	167	9689
17	168	9213
18	170	8781
19	171	8392
20	172	8044
21	173	7729
22	175	7454
23	177	7214
24	179	6989
25	180	6766
26	181	6554
27	183	6353
28	184	6172
29	185	6007
30	187	5855
31	188	5707
32	190	5577
33	192	5480
34	194	5356
35	195	5237
36	197	5130
37	198	5027
38	199	4927
39	201	4831
40	202	4742
41	204	4658
42	206	4592
43	208	4524
44	209	4456
45	211	4382
46	212	4316
47	214	4251
48	215	4191
49	217	4130
50	218	4073
51	221	4039
52	223	3990
53	225	3949
54	227	3904
55	228	3856
56	230	3811
57	232	3768
58	233	3731
59	236	3699
60	237	3660
61	239	3624
62	241	3589
63	242	3551
64	244	3516
65	246	3484
66	247	3452
67	249	3425
68	252	3405
69	254	3382
70	256	3352
71	257	3322
72	259	3295
73	261	3269
74	262	3243
75	265	3224
76	267	3205
77	268	3178
78	270	3153
79	272	3129
80	273	3107
81	275	3085
82	276	3054
83	278	3036
84	280	3022
85	282	3002
86	284	2983
87	286	2965
88	287	2947
89	289	2928
90	291	2908
91	293	2892
92	295	2880
93	297	2868
94	299	2850
95	300	2833
96	302	2819
97	304	2806
98	306	2790
99	308	2775
100	310	2766
101	313	2756
102	314	2740
103	316	2726
104	318	2711
105	319	2697
106	321	2685
107	323	2674
108	326	2665
109	327	2651
110	329	2638
111	331	2626
112	333	2614
113	334	2602
114	336	2590
115	338	2580
116	340	2567
117	342	2561
118	344	2548
119	345	2535
120	347	2522
121	348	2507
122	350	2495
123	352	2488
124	354	2481
125	357	2477
126	358	2463
127	359	2452
128	361	2441
129	363	2430
130	364	2419
131	366	2407
132	367	2398
133	369	2390
134	372	2383
135	373	2373
136	375	2363
137	376	2352
138	378	2341
139	379	2332
140	381	2323
141	382	2311
142	384	2304
143	386	2300
144	388	2291
145	390	2281
146	391	2272
147	393	2263
148	394	2254
149	396	2246
150	398	2239
151	400	2234
152	402	2227
153	403	2218
154	405	2209
155	406	2201
156	408	2193
157	410	2185
158	411	2177
159	413	2170
160	414	2162
161	416	2154
162	417	2146
163	419	2138
164	421	2132
165	423	2125
166	424	2119
167	426	2112
168	429	2113
169	432	2113
170	434	2105
171	435	2098
172	437	2090
173	439	2084
174	440	2076
175	442	2070
176	445	2070
177	447	2065
178	448	2059
179	450	2052
180	452	2045
181	453	2038
182	454	2031
183	456	2024
184	458	2020
185	460	2017
186	462	2010
187	463	2004
188	465	1997
189	467	1991
190	468	1985
191	470	1979
192	471	1973
193	474	1969
194	476	1965
195	478	1962
196	480	1957
197	481	1950
198	483	1944
199	484	1937
200	486	1932
201	488	1929
202	491	1929
203	493	1925
204	495	1921
205	496	1914
206	498	1910
207	500	1907
208	502	1903
209	505	1900
210	507	1897
211	509	1892
212	510	1887
213	512	1882
214	514	1878
215	515	1872
216	517	1868
217	519	1863
218	521	1858
219	522	1853
220	524	1848
221	525	1842
222	527	1838
